t_index   term            df    
729       846             3     
730       85              3     
731       850             6     
732       85260           1     
733       86              12    
734       86th            2     
735       87              1     
736       878             2     
737       88              1     
738       8883469867      1     
739       8inch           2     
740       8monthold       1     
741       8seed           1     
742       8th             5     
743       8yearold        2     
744       9               69    
745       90              28    
746       900             1     
747       90069           1     
748       903             1     
749       90degre         1     
750       91              3     
751       911             5     
752       918             1     
753       92              1     
754       925             1     
755       927             2     
756       92nd            1     
757       93              3     
758       930             7     
759       93117           1     
760       93degre         2     
761       94              1     
762       947             1     
763       95              6     
764       95degre         1     
765       96              5     
766       964             1     
767       968             1     
768       97              8     
769       97yearold       1     
770       98              4     
771       98133           1     
772       98481           1     
773       989             1     
774       99              8     
775       991             1     
776       992             4     
777       99day           1     
778       99year          1     
779       99yearold       1     
780       9magnitud       6     
781       9point          1     
782       9th             3     
783       9yearold        1     
784       a               99    
785       aan             1     
786       aaron           2     
787       ab              1     
788       aback           1     
789       abahd           1     
790       abandon         37    
791       abat            1     
792       abc             49    
793       abcnew          3     
794       abdallah        2     
795       abdel           3     
796       abdomin         2     
797       abduct          2     
798       abdul           5     
799       abdulkarim      11    
800       abdullah        40    
801       abdurahman      1     
802       aberr           1     
803       abhad           1     
804       abhiyan         1     
805       abhorrence      2     
806       abid            7     
807       abidjan         36    
808       abijan          1     
809       abil            32    
810       abl             105   
811       ablaz           3     
812       abnorm          1     
813       aboard          93    
814       abobo           3     
815       abolish         4     
816       abomin          1     
817       abort           7     
818       abou            1     
819       abound          4     
820       about           2     
821       abov            43    
822       abovo           1     
823       abraham         10    
824       abreast         1     
825       abrego          1     
826       abroad          52    
827       abrog           2     
828       abrupt          1     
829       abruptli        4     
830       abscam          1     
831       absenc          6     
832       absent          4     
833       absente         7     
834       absentia        3     
835       absolut         42    
836       absolutely      1     
837       absorb          9     
838       abstain         1     
839       abstent         1     
840       absurd          2     
841       abu             7     
842       abund           2     
843       abus            28    
844       abuseofpow      1     
845       abuzaakouk      1     
846       abyan           1     
847       abyssinian      1     
848       academ          6     
849       academi         3     
850       academia        1     
851       academy         1     
852       acced           1     
853       acceler         4     
854       accent          2     
855       accentu         2     
856       accept          123   
857       acceptable      1     
858       access          41    
859       accid           32    
860       accident        3     
861       accommod        11    
862       accompani       33    
863       accomplic       5     
864       accomplish      9     
865       accomplishment  1     
866       accord          145   
867       accordingli     1     
868       accordion       1     
869       account         121   
870       accountability  2     
871       accountable     4     
872       accounting      2     
873       accredit        1     
874       accumul         2     
875       accur           14    
876       accuraci        1     
877       accus           131   
878       accustom        2     
879       ace             27    
880       acerbity        2     
881       aces            1     
882       achiev          30    
883       achieve         1     
884       acid            2     
885       acknowledg      55    
886       acolyt          1     
887       acosta          1     
888       acquaint        1     
889       acquiesc        1     
890       acquir          5     
891       acquisit        1     
892       acquit          5     
893       acquitt         3     
894       acrimoni        2     
895       acrobat         5     
896       acronym         1     
897       across          119   
898       acrosstheboard  1     
899       act             135   
900       action          95    
901       activ           88    
902       activist        19    
903       activities      1     
904       actor           4     
905       actress         2     
906       actual          66    
907       ad              109   
908       adam            8     
909       adapt           5     
910       add             18    
911       addali          1     
912       added           13    
913       adden           1     
914       adding          3     
915       addit           74    
916       address         64    
917       adem            1     
918       aden            169   
919       adenabyan       5     
920       adenbas         1     
921       adequ           7     
922       adher           4     
923       adiksa          1     
924       adjac           4     
925       adjam           2     
926       adjoin          3     
927       adjourn         3     
928       adjust          7     
929       adlai           1     
930       adm             44    
931       admen           1     
932       administ        9     
933       administr       114   
934       administration  6     
935       administrationmedi1     
936       admir           38    
937       admiralti       1     
938       admiringli      1     
939       admiss          2     
940       admit           40    
941       ado             2     
942       adob            1     
943       adolesc         2     
944       adopt           17    
945       adorn           1     
946       adoubi          1     
947       adra            1     
948       adrain          1     
949       adrenalin       1     
950       adriat          1     
951       adrift          4     
952       adult           9     
953       adults          1     
954       advanc          66    
955       advani          1     
956       advantag        21    
957       adventist       1     
958       adventur        2     
959       advers          2     
960       adversari       2     
961       advertis        12    
962       advic           6     
963       advis           80    
964       adviser         3     
965       advisor         10    
966       advisori        2     
967       advoc           13    
968       advocaci        2     
969       aegi            5     
970       aegis           1     
971       aerial          3     
972       aeroflot        1     
973       af              1     
974       affabl          1     
975       affair          48    
976       affairs         1     
977       affect          29    
978       affection       1     
979       affili          6     
980       affirm          6     
981       afflict         1     
982       afford          7     
983       affront         2     
984       afghan          15    
985       afghanarab      1     
986       afghanbas       3     
987       afghanistan     46    
988       afi             2     
989       afibia          1     
990       afield          1     
991       afir            2     
992       aflcio          2     
993       afloat          13    
994       afoul           1     
995       afraid          28    
996       afredo          1     
997       africa          65    
998       african         48    
999       africanamerican 1     
1000      aft             3     
1001      aftehock        1     
1002      after           6     
1003      aftermath       14    
1004      afternoon       59    
1005      aftershock      43    
1006      afterward       13    
1007      afundament      1     
1008      again           2     
1009      agarw           1     
1010      agassi          47    
1011      agbayani        1     
1012      age             35    
1013      agenc           112   
1014      agencies        1     
1015      agency          5     
1016      agenda          14    
1017      agent           83    
1018      agglomer        1     
1019      aggrav          12    
1020      aggress         24    
1021      agil            1     
1022      agit            1     
1023      ago             207   
1024      agon            6     
1025      agoni           3     
1026      agonizingli     1     
1027      agre            76    
1028      agree           2     
1029      agreement       49    
1030      agricultur      15    
1031      agustin         1     
1032      ah              1     
1033      aha             1     
1034      ahead           53    
1035      ahemdabad       1     
1036      ahm             15    
1037      ahmad           1     
1038      ahmadabad       2     
1039      ahmar           1     
