t_index   term            df    
12941     sultan          6     
12942     sultri          1     
12943     sum             2     
12944     summar          2     
12945     summari         4     
12946     summer          23    
12947     summit          32    
12948     summon          6     
12949     sumner          1     
12950     sun             22    
12951     sunbak          1     
12952     sunda           1     
12953     sunday          201   
12954     sunglass        2     
12955     sunherald       1     
12956     sunil           1     
12957     sunk            7     
12958     sunken          25    
12959     sunni           4     
12960     sunris          1     
12961     sunset          4     
12962     sunshin         1     
12963     sunsplash       1     
12964     super           3     
12965     superb          2     
12966     superbl         2     
12967     superfast       1     
12968     superintend     1     
12969     superior        4     
12970     supermarket     6     
12971     superpow        2     
12972     superstructur   1     
12973     supervis        12    
12974     supervisor      6     
12975     supplement      1     
12976     suppli          55    
12977     support         271   
12978     supporters      1     
12979     suppos          19    
12980     supposedli      4     
12981     supposingli     1     
12982     suppress        12    
12983     suprem          47    
12984     supremaci       2     
12985     supremacist     1     
12986     surat           3     
12987     sure            105   
12988     surebet         1     
12989     surf            2     
12990     surfac          28    
12991     surface         1     
12992     surg            14    
12993     surgeon         9     
12994     surgeri         13    
12995     surgic          3     
12996     surnia          1     
12997     surpass         5     
12998     surplu          3     
12999     surpris         52    
13000     surprisingli    4     
13001     surreal         4     
13002     surrend         34    
13003     surrog          5     
13004     surround        61    
13005     surveil         17    
13006     survey          26    
13007     surviv          100   
13008     survivor        92    
13009     survivors       2     
13010     susa            1     
13011     susan           35    
13012     susann          1     
13013     suscept         2     
13014     susi            3     
13015     suspect         140   
13016     suspected       1     
13017     suspects        3     
13018     suspend         25    
13019     suspens         9     
13020     suspici         13    
13021     suspicion       36    
13022     sustain         12    
13023     sustainable     1     
13024     susten          1     
13025     sutyagin        1     
13026     svilanov        3     
13027     swab            1     
13028     swagger         1     
13029     swallow         4     
13030     swami           3     
13031     swamimarayan    1     
13032     swamp           1     
13033     swan            3     
13034     swap            6     
13035     swarm           16    
13036     swat            2     
13037     sway            17    
13038     swear           6     
13039     swearingin      5     
13040     sweat           4     
13041     sweater         3     
13042     sweati          6     
13043     sweatsoak       1     
13044     swede           2     
13045     sweden          5     
13046     sweep           21    
13047     sweet           3     
13048     sweeten         1     
13049     sweetheart      2     
13050     swell           14    
13051     swelter         1     
13052     swenchoni       1     
13053     swept           39    
13054     swift           11    
13055     swiftli         5     
13056     swim            5     
13057     swing           5     
13058     swipe           1     
13059     swirl           2     
13060     swiss           16    
13061     swissbas        1     
13062     switch          20    
13063     switzerland     25    
13064     swivel          1     
13065     swollen         2     
13066     swoon           1     
13067     swoop           1     
13068     sword           1     
13069     swore           3     
13070     sworn           29    
13071     swung           1     
13072     sy              2     
13073     sydney          10    
13074     sylvest         1     
13075     sylvia          1     
13076     symbiones       4     
13077     symbol          31    
13078     symington       2     
13079     symmetri        1     
13080     sympath         2     
13081     sympathet       8     
13082     sympathi        8     
13083     symphoni        1     
13084     symptom         2     
13085     sync            1     
13086     syndic          1     
13087     synonym         1     
13088     syria           2     
13089     syrian          6     
13090     syrianborn      2     
13091     syring          1     
13092     system          82    
13093     systemat        3     
13094     tabara          3     
13095     tabl            18    
13096     tableau         2     
13097     tableaux        1     
13098     tablecloth      2     
13099     tabloid         2     
13100     tabul           5     
13101     tacitli         1     
13102     tackl           4     
13103     tacoma          1     
13104     tactic          15    
13105     tactician       2     
13106     tadic           2     
13107     taffeta         1     
13108     tag             1     
13109     taha            3     
13110     taigon          1     
13111     tail            1     
13112     tailor          11    
13113     tailspin        2     
13114     taint           10    
13115     taiwan          9     
13116     taiwanes        2     
13117     taiz            1     
13118     take            340   
13119     taken           128   
13120     takeoff         1     
13121     takeov          15    
13122     taker           1     
13123     takla           1     
13124     talaja          2     
13125     tale            5     
13126     talent          8     
13127     talib           1     
13128     taliban         15    
13129     talk            156   
13130     talker          1     
13131     talkshow        1     
13132     tall            8     
13133     tallahasse      1     
13134     taller          4     
13135     talli           15    
13136     tamarin         4     
13137     tame            7     
13138     tamil           1     
13139     tamme           1     
13140     tampa           4     
13141     tamper          3     
13142     tan             2     
13143     tanang          1     
13144     tanasugarin     1     
13145     tanasugarn      3     
13146     tandem          1     
13147     tangl           11    
13148     tanja           1     
13149     tanjug          13    
13150     tank            25    
13151     tanker          2     
13152     tankmount       1     
13153     tant            1     
13154     tantal          1     
13155     tantamount      1     
13156     tantrum         1     
13157     tanugu          1     
13158     tanzania        37    
13159     tap             9     
13160     tape            20    
13161     tar             2     
13162     tarawa          2     
13163     tardi           1     
13164     target          67    
13165     tariff          2     
13166     tariq           2     
13167     tarmac          12    
13168     tarnish         2     
13169     tarp            3     
13170     tarpaulin       3     
13171     task            43    
13172     tass            1     
13173     tast            5     
13174     tatter          4     
13175     taunt           1     
13176     tawdri          1     
13177     tawfiq          1     
13178     tax             40    
13179     taxevas         1     
13180     taxi            6     
13181     taxpay          2     
13182     taxsav          3     
13183     taxwrit         1     
13184     taylor          2     
13185     tdcj            14    
13186     tea             9     
13187     teach           8     
13188     teacher         16    
13189     team            119   
13190     teammat         2     
13191     teams           2     
13192     tear            72    
13193     tearga          5     
13194     tech            1     
13195     technic         24    
13196     technician      14    
13197     technicians     1     
13198     techniqu        4     
13199     technocrat      1     
13200     technolog       42    
13201     technologyrel   1     
13202     techsourc       2     
13203     tecla           11    
13204     ted             3     
13205     teddi           1     
13206     teem            3     
13207     teen            2     
13208     teenag          18    
13209     teepl           1     
13210     teeter          2     
13211     teeth           2     
13212     tefb            1     
13213     tegla           1     
13214     tekla           2     
13215     tel             4     
13216     telar           1     
13217     telecommun      2     
13218     teleconfer      2     
13219     telephon        72    
13220     televis         170   
13221     televisa        1     
13222     television      2     
13223     televison       1     
13224     tell            108   
13225     teller          7     
13226     tello           2     
13227     tem             1     
13228     temblor         13    
13229     tempel          1     
13230     temper          4     
13231     temperatur      10    
13232     tempestu        1     
13233     templ           8     
13234     templat         1     
13235     tempo           1     
13236     temporari       13    
13237     temporarili     10    
13238     ten             77    
13239     tenabl          1     
13240     tenac           1     
13241     tenaci          1     
13242     tenant          3     
13243     tend            11    
13244     tendenc         4     
13245     tender          4     
13246     tenet           2     
13247     tenn            8     
13248     tennesse        11    
13249     tenni           39    
13250     tens            18    
13251     tension         24    
13252     tensions        1     
13253     tent            39    
13254     tentacl         1     
13255     tentdwel        3     
13256     tenth           3     
13257     tenur           9     
13258     tenyear         2     
13259     ter             1     
13260     term            110   
13261     termend         1     
13262     termer          1     
13263     termin          15    
13264     termlimit       1     
13265     terms           1     
13266     tern            1     
13267     terr            1     
13268     terrain         2     
13269     terrel          1     
13270     terrenc         12    
13271     terri           6     
13272     terribl         28    
13273     terribly        1     
13274     terrif          2     
13275     terrifi         9     
13276     terrifng        1     
13277     terrifyingli    1     
13278     territori       22    
13279     terror          102   
13280     terrorism       2     
13281     terrorist       201   
13282     terrorists      5     
13283     test            42    
13284     testament       2     
13285     testifi         25    
13286     testili         1     
13287     testimoni       19    
13288     testu           1     
13289     testud          9     
13290     tethani         1     
13291     tether          2     
13292     tex             1     
13293     texa            95    
13294     texas           7     
13295     texaswyom       1     
13296     text            6     
13297     textbook        1     
13298     textil          4     
13299     tfor            1     
13300     th              1     
13301     thaan           1     
13302     thabo           3     
13303     thaci           1     
13304     thadani         1     
13305     thaerz          1     
13306     thahn           1     
13307     thailand        2     
13308     thakkar         4     
13309     thakur          1     
13310     than            4     
13311     thanh           2     
13312     thank           117   
13313     thanksgiv       2     
13314     thankyou        1     
13315     that            176   
13316     thatcher        1     
13317     thaul           1     
13318     the             256   
13319     theater         5     
13320     theaterintheround2     
13321     theeyear        1     
13322     theft           2     
13323     their           8     
13324     them            12    
13325     thembassyjtffa  2     
13326     theme           7     
13327     themselv        73    
13328     themselves      3     
13329     then            2     
13330     thenagricultur  2     
13331     thenmissouri    1     
13332     thenpresid      1     
13333     thenu           3     
13334     theodor         2     
13335     theolog         2     
13336     theoret         3     
13337     theori          28    
13338     theoriz         4     
13339     theory          1     
13340     thepaid         1     
13341     therapy         1     
13342     there           143   
13343     thereaft        1     
13344     therebi         2     
13345     therefor        16    
13346     therein         1     
13347     therel          2     
13348     therer          2     
13349     theresa         1     
13350     thermomet       2     
13351     thescap         1     
13352     these           17    
13353     thesi           1     
13354     thevenot        2     
13355     they            69    
13356     theyd           1     
13357     theyll          13    
13358     theyr           63    
13359     theyv           34    
13360     thi             626   
13361     thick           15    
13362     thicker         3     
13363     thief           1     
13364     thiessen        1     
13365     thiev           4     
13366     thieves         2     
13367     thigh           2     
13368     thin            5     
13369     thing           165   
13370     thing99         1     
13371     things          3     
13372     think           227   
13373     thinker         1     
13374     thinner         1     
13375     third           124   
13376     thirdhighest    1     
13377     thirdlargest    5     
13378     thirdli         1     
13379     thirdparti      2     
13380     thirdplac       1     
13381     thirdround      1     
13382     thirdseed       9     
13383     thirdset        3     
13384     thirdworld      1     
13385     thirteen        3     
13386     thirti          1     
13387     thirtynin       6     
13388     thirtysometh    1     
13389     thirtythre      4     
13390     this            8     
13391     thoma           18    
13392     thompson        4     
13393     thorbjoern      2     
13394     thorbjorn       1     
13395     thorn           1     
13396     thornburgh      1     
13397     thornel         1     
13398     thorni          1     
13399     thorough        3     
13400     thoroughfar     3     
13401     thoroughli      1     
13402     those           2     
13403     though          135   
13404     thought         106   
13405     thousand        156   
13406     thrash          1     
13407     thread          4     
13408     threadbar       1     
13409     threat          104   
13410     threatcon       1     
13411     threaten        46    
13412     threats         1     
13413     three           312   
13414     threeday        16    
13415     threefifth      1     
13416     threefourth     1     
13417     threegam        1     
13418     threehour       4     
13419     threejudg       1     
13420     threeperson     1     
13421     threequart      2     
13422     threeroom       3     
13423     threeset        8     
13424     threesett       2     
13425     threestori      6     
13426     threetim        2     
13427     threeway        1     
13428     threeyearold    1     
13429     threshold       2     
13430     threw           16    
13431     thrill          5     
13432     thriller        1     
13433     thrive          6     
13434     throat          2     
13435     throne          2     
13436     throng          6     
13437     through         3     
13438     throughout      70    
13439     throw           17    
13440     throwback       2     
13441     thrower         1     
13442     thrown          24    
13443     thrust          3     
13444     thu             19    
13445     thug            5     
13446     thugocraci      2     
13447     thumb           3     
13448     thumbsup        3     
13449     thunder         3     
13450     thunderbird     1     
13451     thurmond        1     
13452     thursday        219   
13453     thuzz           1     
13454     thwart          5     
13455     tia             2     
13456     tiananmen       1     
13457     tibet           2     
13458     tick            3     
13459     ticket          10    
13460     tidal           2     
13461     tide            7     
13462     tides           1     
13463     tie             97    
13464     tiebreak        16    
13465     tien            1     
13466     tiffani         2     
13467     tight           22    
13468     tighten         11    
13469     tighter         3     
13470     tightest        2     
13471     tightli         4     
13472     tijan           3     
13473     tilak           1     
13474     tile            2     
13475     till            5     
13476     tilt            5     
13477     tiltrotor       1     
13478     tim             15    
13479     time            476   
13480     timelin         4     
13481     times           3     
13482     timet           4     
13483     timid           2     
13484     timism          1     
13485     timo            1     
13486     timocka         1     
13487     timothi         4     
13488     tin             1     
13489     tini            23    
13490     tinkering       1     
13491     tinkl           1     
13492     tiot            1     
13493     tip             55    
13494     tipper          2     
13495     tipster         1     
13496     tire            29    
13497     tireless        1     
13498     tirelessli      2     
13499     tirm            2     
13500     titl            50    
13501     titleist        1     
13502     titlist         2     
13503     tito            6     
13504     tl              1     
13505     tnt             7     
13506     to              50    
13507     toadi           1     
13508     toast           3     
13509     toastst         1     
13510     tobacco         3     
13511     tod             2     
13512     today           316   
13513     todd            21    
13514     toddler         3     
13515     toe             3     
13516     togeth          100   
13517     together        1     
13518     togo            1     
13519     tohouri         1     
13520     toi             1     
13521     toietnam        1     
13522     toilet          3     
13523     token           2     
13524     tokov           1     
13525     tokyo           25    
13526     told            277   
13527     toledo          15    
13528     toler           12    
13529     tolkach         1     
13530     toll            78    
13531     tollfre         2     
13532     tolli           1     
13533     tolstoy         1     
13534     tom             42    
13535     tomahawk        6     
13536     tomato          2     
13537     tomb            1     
13538     tomic           2     
13539     tomislav        1     
13540     tommi           9     
13541     tomorrow        41    
13542     tomorrow99      1     
13543     ton             37    
13544     tone            16    
13545     tong            1     
13546     tongu           7     
13547     toni            34    
13548     tonig           2     
13549     tonight         104   
13550     tonugu          1     
13551     too             3     
13552     tooclosetocal   1     
13553     took            216   
13554     tool            21    
13555     toopersist      1     
13556     toothless       1     
13557     top             167   
13558     topic           1     
13559     topmost         1     
13560     topolev         2     
13561     toppl           25    
13562     topple          1     
13563     toprank         1     
13564     topsecret       7     
13565     topseed         17    
13566     torch           11    
13567     tore            41    
13568     tori            1     
13569     torment         10    
13570     torn            7     
13571     torpedo         64    
13572     torr            1     
13573     torricelli      1     
13574     torso           1     
13575     tortilla        1     
13576     tortur          14    
13577     toscap          1     
13578     toss            14    
13579     tossup          3     
13580     total           75    
13581     totalitarian    1     
13582     tote            2     
13583     totter          1     
13584     touch           37    
13585     touchdown       1     
13586     touchi          2     
13587     tough           32    
13588     toughen         1     
13589     tougher         2     
13590     toughest        2     
13591     toughfought     1     
13592     tour            45    
13593     tourism         1     
13594     tourist         12    
13595     tournament      51    
13596     tout            2     
13597     tow             18    
13598     toward          99    
13599     towel           1     
13600     tower           21    
13601     town            111   
13602     townhallstyl    2     
13603     townsend        1     
13604     townspeopl      2     
13605     towntotown      1     
13606     toy             3     
13607     trace           13    
13608     tracey          1     
13609     traci           1     
13610     track           47    
13611     trade           72    
13612     trader          11    
13613     tradit          45    
13614     traffic         24    
13615     traffick        22    
13616     tragedi         48    
13617     tragedy         1     
13618     tragic          15    
13619     trail           45    
13620     trailer         13    
13621     train           54    
13622     trainer         14    
13623     traips          1     
13624     trait           1     
13625     traition        1     
13626     traitor         1     
13627     trajkov         1     
13628     trampl          2     
13629     tran            7     
13630     trang           1     
13631     tranquil        6     
13632     transact        5     
13633     transaction     1     
13634     transcend       1     
13635     transcript      6     
13636     transfer        27    
13637     transform       6     
13638     transit         45    
13639     transition      1     
13640     translat        21    
13641     translation     1     
13642     transmiss       2     
13643     transmit        1     
13644     transmitt       1     
13645     transnat        1     
13646     transpar        13    
13647     transpir        2     
13648     transpiring     1     
13649     transport       53    
13650     traor           1     
13651     trap            69    
13652     trash           13    
13653     trauma          7     
13654     traumat         1     
13655     travail         1     
13656     travel          70    
13657     traveled        3     
13658     travelg         1     
13659     travesti        2     
13660     tray            1     
13661     tread           1     
13662     treason         2     
13663     treasur         5     
13664     treasuri        2     
13665     treat           39    
13666     treati          7     
13667     treatment       34    
13668     treaty          1     
13669     trebjesanin     1     
13670     tredway         1     
13671     tree            13    
13672     treeless        1     
13673     trek            2     
13674     trembl          1     
13675     tremend         8     
13676     tremor          23    
13677     trench          1     
13678     trenchantli     1     
13679     trenchcoat      1     
13680     trend           15    
13681     trent           7     
13682     tri             324   
13683     triag           1     
13684     trial           82    
13685     triangl         1     
13686     tribal          10    
13687     tribe           9     
13688     tribesmen       1     
13689     tribespeopl     1     
13690     tribun          29    
13691     tribunal        2     
13692     tribut          12    
13693     trichovich      1     
13694     trick           13    
13695     tricki          6     
13696     trickl          4     
13697     tricov          1     
13698     trident         1     
13699     trigger         23    
13700     trillion        1     
13701     trilliondollar  1     
13702     trim            12    
13703     trio            1     
13704     trip            83    
13705     tripl           2     
13706     triplelay       2     
13707     triplett        1     
13708     tripoli         1     
13709     tripp           1     
13710     triumph         15    
13711     trivedi         1     
13712     troop           67    
13713     trooper         5     
13714     troopers        1     
13715     trophi          2     
13716     trophyhunt      1     
13717     tropic          1     
13718     trot            2     
13719     troubl          64    
13720     troublemak      1     
13721     troublesom      2     
13722     trounc          1     
13723     troup           1     
13724     trove           1     
13725     truce           3     
13726     truck           64    
13727     truckbomb       3     
13728     trucker         2     
13729     truckload       5     
13730     true            34    
13731     truecrim        2     
13732     truer           1     
13733     truli           16    
13734     truman          5     
13735     trumpet         4     
13736     trundl          1     
13737     trust           26    
13738     trustworthi     1     
13739     truth           21    
13740     tshirt          9     
13741     tsvangirai      1     
13742     tu              1     
13743     tube            11    
13744     tuck            3     
13745     tucker          1     
13746     tudela          10    
13747     tudjman         3     
13748     tuesday         164   
13749     tug             4     
13750     tugboat         1     
13751     tull            7     
13752     tumb            1     
13753     tumbl           7     
13754     tumult          2     
13755     tumultu         5     
13756     tuna            1     
13757     tune            6     
13758     tuneup          3     
13759     tungata         1     
13760     tunisia         1     
13761     tunnel          5     
13762     tupac           4     
13763     turban          1     
13764     turbin          3     
13765     turbul          4     
13766     tureen          1     
13767     turf            1     
13768     turk            2     
13769     turkey          17    
13770     turkish         2     
13771     turmoil         16    
13772     turn            179   
13773     turnaround      2     
13774     turncoat        1     
13775     turner          1     
13776     turnout         27    
13777     turnov          7     
13778     tusca           1     
13779     tussl           1     
13780     tutori          1     
13781     tuxedo          1     
13782     tv              59    
13783     twa             1     
13784     twelfth         1     
13785     twelv           2     
13786     twenti          7     
13787     twice           42    
13788     twig            1     
13789     twin            6     
13790     twinengin       8     
13791     twist           19    
13792     twisted         1     
13793     twists          1     
13794     two             569   
13795     twoandahalf     1     
13796     twobytwo        3     
13797     twocandid       2     
13798     twocar          1     
13799     twochild        1     
13800     twoday          5     
13801     twohour         5     
13802     twoinch         1     
13803     twopag          4     
13804     twoparti        1     
13805     twopiec         2     
13806     tworepubl       1     
13807     twosetstonon    1     
13808     twostep         1     
13809     twostori        2     
13810     twoterm         10    
13811     twothird        5     
13812     twotim          8     
13813     twoway          4     
13814     twoweek         2     
13815     twoweeklong     1     
13816     twoyear         7     
13817     twoyearold      1     
13818     tx              14    
13819     tyner           1     
13820     type            23    
13821     typewrit        1     
13822     typhu           1     
13823     typic           6     
13824     typifi          1     
13825     typograph       2     
13826     tyranni         3     
13827     tyrant          2     
13828     tyson           5     
13829     tysyacheletiy   1     
13830     u               423   
13831     u2              2     
13832     ueno            2     
13833     ufwet           1     
13834     ugaz            3     
13835     ugli            3     
13836     uhhuh           1     
13837     ulihrach        2     
13838     ultim           31    
13839     ultimatum       3     
13840     ultra           1     
13841     ultralight      3     
13842     ultramodern     2     
13843     ultranationalist3     
13844     umbil           1     
13845     umbrella        2     
13846     umesh           1     
13847     umpir           6     
13848     un              7     
13849     unabl           24    
13850     unaccept        7     
13851     unaccount       12    
13852     unaccountedfor  2     
13853     unambigu        1     
13854     unanim          6     
13855     unannounc       4     
13856     unansw          4     
13857     unapologet      1     
13858     unarm           5     
13859     unattend        1     
13860     unauthor        3     
13861     unavoid         2     
13862     unawar          3     
13863     unbalanc        1     
13864     unbear          1     
13865     unbeaten        1     
13866     unbeliev        6     
13867     unbias          2     
13868     unborn          1     
13869     unbridl         1     
13870     unbroken        2     
13871     uncal           1     
13872     uncanni         1     
13873     unceasingli     1     
13874     uncertain       14    
13875     uncertainti     12    
13876     unchalleng      3     
13877     unchang         6     
13878     uncharacterist  2     
13879     uncharismat     1     
13880     uncheck         4     
13881     uncl            9     
13882     unclaim         2     
13883     unclassifi      3     
13884     unclear         27    
13885     uncoil          1     
13886     uncollect       1     
13887     uncomfort       2     
13888     uncommit        2     
13889     uncommon        1     
13890     unconcern       1     
13891     uncondit        4     
13892     unconfirm       3     
13893     unconsci        2     
13894     unconstitut     2     
13895     unconvinc       1     
13896     uncork          1     
13897     uncorrupt       1     
13898     uncount         1     
13899     uncov           14    
13900     uncrit          1     
13901     undaunt         1     
13902     undecid         8     
13903     undef           1     
13904     undemocrat      3     
13905     underachiev     1     
13906     underag         4     
13907     undercov        1     
13908     undercut        9     
13909     underdog        1     
13910     underestim      5     
13911     undergo         7     
13912     undergon        1     
13913     underground     6     
13914     underli         3     
13915     underlin        3     
13916     undermin        14    
13917     underneath      7     
13918     underpaid       1     
13919     underscor       14    
13920     undersea        1     
13921     undersecretari  2     
13922     undersecretarygener3     
13923     undersheriff    2     
13924     understaf       1     
13925     understand      55    
13926     understat       1     
13927     understood      11    
13928     understudi      1     
13929     undertak        5     
13930     undertaken      6     
13931     underton        1     
13932     undertook       1     
13933     underw          5     
13934     underwat        21    
13935     underway        9     
13936     underwood       1     
13937     underworld      3     
13938     undescrib       1     
13939     undeserv        2     
13940     undetect        6     
13941     undisclos       2     
13942     undisput        2     
13943     undisturb       1     
13944     undivid         1     
13945     undo            1     
13946     undon           1     
13947     undoubtedli     3     
13948     undu            2     
13949     unduli          2     
13950     unearth         4     
13951     uneasi          8     
13952     unelect         1     
13953     unemploy        5     
13954     unenforc        1     
13955     unequivoc       2     
13956     uner            2     
13957     unesco          1     
13958     unexpect        9     
13959     unexpectedli    4     
13960     unexpir         1     
13961     unexplain       4     
13962     unexplod        4     
13963     unfair          13    
13964     unfairli        4     
13965     unfamiliar      4     
13966     unfathom        2     
13967     unfaz           3     
13968     unfett          9     
13969     unfinish        4     
13970     unfit           15    
13971     unflatt         1     
13972     unfold          12    
13973     unforc          12    
13974     unfortun        16    
13975     unfortunate     1     
13976     unfound         3     
13977     unfurl          1     
13978     ungovern        2     
13979     unhappi         4     
13980     unharm          4     
13981     unharmed        1     
13982     unheard         1     
13983     unhelp          1     
13984     unhurt          1     
13985     unicef          1     
13986     unidentifi      15    
13987     unif            2     
13988     unifi           12    
13989     uniform         24    
13990     unilater        1     
13991     unimagin        3     
13992     uninform        1     
13993     uninhabit       1     
13994     unintellig      1     
13995     unintend        1     
13996     union           59    
13997     unionist        2     
13998     unionl          1     
13999     uniqu           3     
14000     unit            375   
14001     united          1     
14002     uniti           23    
14003     univers         64    
14004     university      3     
14005     univis          3     
14006     unjust          3     
14007     unjustifi       7     
14008     unjustli        1     
14009     unknowingli     1     
14010     unknown         38    
14011     unlaw           1     
14012     unleash         5     
14013     unless          14    
14014     unlevel         1     
14015     unlik           30    
14016     unlikely        1     
14017     unlimit         2     
14018     unload          11    
14019     unman           1     
14020     unmark          1     
14021     unmistak        2     
14022     unnam           4     
14023     unnecessari     5     
14024     unnecessary     1     
14025     unnot           1     
14026     unoffici        5     
14027     unpack          1     
14028     unpalat         1     
14029     unpolish        1     
14030     unpopular       7     
14031     unpreced        27    
14032     unprecedentedli 1     
14033     unpredict       4     
14034     unpretenti      2     
14035     unprint         1     
14036     unprotect       4     
14037     unpunish        1     
14038     unquestion      1     
14039     unravel         8     
14040     unreason        2     
14041     unrecov         1     
14042     unregul         3     
14043     unrel           5     
14044     unreli          2     
14045     unrepres        2     
14046     unresolv        4     
14047     unrest          17    
14048     unrestrict      1     
14049     unsaf           3     
14050     unsatisfactori  4     
14051     unsatisfi       1     
14052     unsavori        2     
14053     unscath         5     
14054     unschedul       2     
14055     unscom          1     
14056     unscript        1     
14057     unscrupul       2     
14058     unseason        1     
14059     unseat          11    
14060     unsecur         4     
14061     unseed          12    
14062     unseen          2     
14063     unselfish       1     
14064     unsettl         6     
14065     unshaken        2     
14066     unshaven        1     
14067     unsheath        1     
14068     unspecif        3     
14069     unspecifi       6     
14070     unspectacular   3     
14071     unspoken        1     
14072     unstabl         9     
14073     unsteadi        1     
14074     unsteadili      1     
14075     unsubstanti     2     
14076     unsuccess       15    
14077     unsupervis      2     
14078     unsur           6     
14079     unsuspect       1     
14080     unswervingli    2     
14081     unsympathet     1     
14082     untabul         2     
14083     untaint         1     
14084     untal           1     
14085     untap           2     
14086     untest          2     
14087     unthink         3     
14088     unthreaten      2     
14089     until           5     
14090     untold          2     
14091     untouch         3     
14092     untreat         2     
14093     untrustworthi   1     
14094     untruth         2     
14095     unus            2     
14096     unusu           28    
14097     unusual         1     
14098     unveil          3     
14099     unwant          3     
14100     unwarr          1     
14101     unwil           10    
14102     unwilling       3     
14103     unwis           2     
14104     unwittingli     2     
14105     up              8     
14106     upbeat          1     
14107     upcom           10    
14108     updat           18    
14109     upfront         1     
14110     upheav          5     
14111     upheld          1     
14112     uphil           2     
14113     uphold          3     
14114     upkeep          1     
14115     upon            30    
14116     upper           8     
14117     upris           43    
14118     uprising        1     
14119     uproar          5     
14120     uproot          1     
14121     upscal          3     
14122     upset           40    
14123     upshot          1     
14124     upsid           3     
14125     upstag          1     
14126     upstart         2     
14127     upstat          2     
14128     upsurg          1     
14129     upto            1     
14130     uptod           1     
14131     upward          2     
14132     ural            2     
14133     urban           8     
14134     urdulanguag     2     
14135     ureg            1     
14136     urg             92    
14137     urgenc          4     
14138     urgent          12    
14139     uruguay         2     
14140     urvashi         1     
14141     us              304   
14142     usa             6     
14143     usaid           2     
14144     usama           1     
14145     usback          1     
14146     usbio           1     
14147     usdoj           1     
14148     use             307   
14149     used            1     
14150     usha            1     
14151     usher           3     
14152     usindex         1     
14153     usrussian       2     
14154     uss             228   
14155     ussole          1     
14156     ussr            2     
14157     ustacov         1     
14158     ustakov         1     
14159     ustokov         1     
14160     usual           39    
14161     usulutan        1     
14162     usvietnam       1     
14163     utah            6     
14164     utensil         1     
14165     util            5     
14166     uttar           4     
14167     utter           3     
14168     utterli         14    
14169     uvarov          1     
14170     uvil            1     
14171     uwint           1     
14172     uzic            1     
14173     v               13    
14174     v22             1     
14175     va              37    
14176     vacanc          11    
14177     vacant          3     
14178     vacat           15    
14179     vacuum          5     
14180     vadim           8     
14181     vagari          1     
14182     vagu            3     
14183     vaibhav         3     
14184     vaidya          1     
14185     vain            6     
14186     vajpaye         13    
14187     valdimir        2     
14188     valentin        37    
14189     valetin         1     
14190     valiantli       1     
14191     valid           6     
14192     vall            1     
14193     vallanc         1     
14194     vallentin       1     
14195     valley          4     
14196     valu            20    
14197     valuabl         8     
14198     value           1     
14199     van             21    
14200     vandal          3     
14201     vanek           9     
14202     vanish          6     
14203     vanquish        2     
14204     vantag          1     
14205     vap             1     
14206     vapid           1     
14207     vara            3     
14208     varadero        1     
14209     varga           3     
14210     vari            7     
14211     variat          2     
14212     varieti         9     
14213     variou          24    
14214     various         1     
14215     varonec         1     
14216     vasiltsov       1     
14217     vassal          1     
14218     vast            23    
14219     vastli          4     
14220     vat             1     
14221     vault           3     
14222     vavrinec        1     
14223     vecernj         2     
14224     vedrin          4     
14225     vedrine         1     
14226     veekz           1     
14227     veen            1     
14228     vega            4     
14229     veget           1     
14230     vehement        3     
14231     vehicl          46    
14232     veil            9     
14233     vein            1     
14234     velensuela      1     
14235     velez           1     
14236     velimir         2     
14237     vellari         1     
14238     vendingstand    1     
14239     vendor          2     
14240     veneer          1     
14241     venero          1     
14242     venezuela       3     
14243     venezuelan      2     
14244     veng            2     
14245     venom           2     
14246     vent            1     
14247     ventil          1     
14248     ventur          15    
14249     ventura         1     
14250     venturoni       1     
14251     venu            36    
14252     venus           1     
14253     verandah        2     
14254     verb            2     
14255     verbal          3     
14256     verdict         24    
14257     verg            7     
14258     veri            275   
14259     verifi          7     
14260     vermont         3     
14261     vern            24    
14262     vernon          6     
14263     vero            3     
14264     veronica        1     
14265     veronika        1     
14266     vers            5     
14267     version         18    
14268     versu           1     
14269     vertigo         1     
14270     veselinov       1     
14271     vesna           2     
14272     vessel          56    
14273     vest            8     
14274     vestig          7     
14275     vet             2     
14276     veteran         41    
14277     veterans        1     
14278     veto            2     
14279     vetrivinia      1     
14280     vex             1     
14281     vi              3     
14282     via             6     
14283     vibe            1     
14284     vibrat          1     
14285     vicar           1     
14286     vice            90    
14287     vicent          1     
14288     vicepresid      3     
14289     vicepresidenti  2     
14290     viciou          3     
14291     vick            1     
14292     victim          101   
14293     victimization   1     
14294     victims         6     
14295     victor          14    
14296     victori         139   
14297     victory         2     
14298     video           40    
14299     videodisc       1     
14300     videotap        30    
14301     vidyayevo       1     
14302     vienna          1     
14303     viet            3     
14304     vietcong        1     
